timestamp,alphabets,codewords,lower_boundaries,upper_boundaries,encoded_alphabets
2016-07-01 01:00:00,A,-2.15,-2.37,-1.69,0
2016-07-01 05:00:00,K,-0.07,-0.09,-0.01,10
2016-07-01 09:00:00,E,-0.62,-0.71,-0.55,4
2016-07-01 13:00:00,L,0.07,-0.01,0.08,11
2016-07-01 17:00:00,G,-0.4,-0.43,-0.33,6
2016-07-01 21:00:00,Q,0.81,0.74,1.1,16
2016-07-02 01:00:00,L,0.07,-0.01,0.08,11
2016-07-02 05:00:00,I,-0.19,-0.24,-0.16,8
2016-07-02 09:00:00,L,0.05,-0.01,0.08,11
2016-07-02 13:00:00,K,-0.04,-0.09,-0.01,10
2016-07-02 17:00:00,R,1.65,1.1,1.95,17
2016-07-02 21:00:00,O,0.51,0.33,0.51,14
2016-07-03 01:00:00,D,-0.84,-0.92,-0.71,3
2016-07-03 05:00:00,M,0.11,0.08,0.19,12
2016-07-03 09:00:00,M,0.11,0.08,0.19,12
2016-07-03 13:00:00,P,0.74,0.51,0.74,15
2016-07-03 17:00:00,A,-2.06,-2.37,-1.69,0
2016-07-03 21:00:00,L,0.04,-0.01,0.08,11
2016-07-04 01:00:00,P,0.74,0.51,0.74,15
2016-07-04 05:00:00,D,-0.74,-0.92,-0.71,3
2016-07-04 09:00:00,R,1.95,1.1,1.95,17
2016-07-04 13:00:00,Q,0.91,0.74,1.1,16
2016-07-04 17:00:00,A,-1.99,-2.37,-1.69,0
2016-07-04 21:00:00,M,0.19,0.08,0.19,12
2016-07-05 01:00:00,R,1.13,1.1,1.95,17
2016-07-05 05:00:00,K,-0.03,-0.09,-0.01,10
2016-07-05 09:00:00,C,-1.16,-1.2,-0.92,2
2016-07-05 13:00:00,R,1.58,1.1,1.95,17
2016-07-05 17:00:00,J,-0.14,-0.16,-0.09,9
2016-07-05 21:00:00,E,-0.63,-0.71,-0.55,4
2016-07-06 01:00:00,O,0.4,0.33,0.51,14
2016-07-06 05:00:00,L,0.0,-0.01,0.08,11
2016-07-06 09:00:00,L,0.03,-0.01,0.08,11
2016-07-06 13:00:00,D,-0.74,-0.92,-0.71,3
2016-07-06 17:00:00,P,0.63,0.51,0.74,15
2016-07-06 21:00:00,G,-0.42,-0.43,-0.33,6
2016-07-07 01:00:00,H,-0.3,-0.33,-0.24,7
2016-07-07 05:00:00,M,0.14,0.08,0.19,12
2016-07-07 09:00:00,R,1.18,1.1,1.95,17
2016-07-07 13:00:00,Q,1.04,0.74,1.1,16
2016-07-07 17:00:00,C,-0.97,-1.2,-0.92,2
2016-07-07 21:00:00,F,-0.46,-0.55,-0.43,5
2016-07-08 01:00:00,F,-0.49,-0.55,-0.43,5
2016-07-08 05:00:00,M,0.19,0.08,0.19,12
2016-07-08 09:00:00,N,0.3,0.19,0.33,13
2016-07-08 13:00:00,Q,0.83,0.74,1.1,16
2016-07-08 17:00:00,G,-0.4,-0.43,-0.33,6
2016-07-08 21:00:00,F,-0.46,-0.55,-0.43,5
2016-07-09 01:00:00,F,-0.55,-0.55,-0.43,5
2016-07-09 05:00:00,L,0.0,-0.01,0.08,11
2016-07-09 09:00:00,P,0.67,0.51,0.74,15
2016-07-09 13:00:00,O,0.35,0.33,0.51,14
2016-07-09 17:00:00,F,-0.49,-0.55,-0.43,5
2016-07-09 21:00:00,G,-0.35,-0.43,-0.33,6
2016-07-10 01:00:00,I,-0.23,-0.24,-0.16,8
2016-07-10 05:00:00,J,-0.12,-0.16,-0.09,9
2016-07-10 09:00:00,O,0.35,0.33,0.51,14
2016-07-10 13:00:00,O,0.42,0.33,0.51,14
2016-07-10 17:00:00,G,-0.42,-0.43,-0.33,6
2016-07-10 21:00:00,I,-0.23,-0.24,-0.16,8
2016-07-11 01:00:00,M,0.12,0.08,0.19,12
2016-07-11 05:00:00,L,0.04,-0.01,0.08,11
2016-07-11 09:00:00,Q,0.95,0.74,1.1,16
2016-07-11 13:00:00,O,0.46,0.33,0.51,14
2016-07-11 17:00:00,G,-0.33,-0.43,-0.33,6
2016-07-11 21:00:00,L,0.0,-0.01,0.08,11
2016-07-12 01:00:00,J,-0.12,-0.16,-0.09,9
2016-07-12 05:00:00,N,0.3,0.19,0.33,13
2016-07-12 09:00:00,O,0.47,0.33,0.51,14
2016-07-12 13:00:00,Q,1.0,0.74,1.1,16
2016-07-12 17:00:00,C,-1.02,-1.2,-0.92,2
2016-07-12 21:00:00,M,0.12,0.08,0.19,12
2016-07-13 01:00:00,N,0.3,0.19,0.33,13
2016-07-13 05:00:00,M,0.09,0.08,0.19,12
2016-07-13 09:00:00,B,-1.3,-1.69,-1.2,1
2016-07-13 13:00:00,R,1.67,1.1,1.95,17
2016-07-13 17:00:00,B,-1.67,-1.69,-1.2,1
2016-07-13 21:00:00,O,0.42,0.33,0.51,14
2016-07-14 01:00:00,N,0.28,0.19,0.33,13
2016-07-14 05:00:00,L,0.05,-0.01,0.08,11
2016-07-14 09:00:00,H,-0.32,-0.33,-0.24,7
2016-07-14 13:00:00,P,0.53,0.51,0.74,15
2016-07-14 17:00:00,D,-0.9,-0.92,-0.71,3
2016-07-14 21:00:00,F,-0.46,-0.55,-0.43,5
2016-07-15 01:00:00,Q,0.83,0.74,1.1,16
2016-07-15 05:00:00,K,-0.07,-0.09,-0.01,10
2016-07-15 09:00:00,E,-0.69,-0.71,-0.55,4
2016-07-15 13:00:00,B,-1.67,-1.69,-1.2,1
2016-07-15 17:00:00,E,-0.7,-0.71,-0.55,4
2016-07-15 21:00:00,R,1.21,1.1,1.95,17
2016-07-16 01:00:00,O,0.35,0.33,0.51,14
2016-07-16 05:00:00,O,0.46,0.33,0.51,14
2016-07-16 09:00:00,P,0.63,0.51,0.74,15
2016-07-16 13:00:00,P,0.7,0.51,0.74,15
2016-07-16 17:00:00,D,-0.84,-0.92,-0.71,3
2016-07-16 21:00:00,I,-0.21,-0.24,-0.16,8
2016-07-17 01:00:00,M,0.14,0.08,0.19,12
2016-07-17 05:00:00,P,0.6,0.51,0.74,15
2016-07-17 09:00:00,O,0.51,0.33,0.51,14
2016-07-17 13:00:00,O,0.42,0.33,0.51,14
2016-07-17 17:00:00,C,-0.95,-1.2,-0.92,2
2016-07-17 21:00:00,M,0.11,0.08,0.19,12
2016-07-18 01:00:00,M,0.09,0.08,0.19,12
