timestamp,alphabets,codewords,lower_boundaries,upper_boundaries,encoded_alphabets
2016-07-01 00:00:00,D,-0.03,-0.03,-0.01,3
2016-07-01 04:00:00,E,-0.01,-0.01,0.0,4
2016-07-01 08:00:00,E,-0.01,-0.01,0.0,4
2016-07-01 12:00:00,E,-0.0,-0.01,0.0,4
2016-07-01 16:00:00,E,-0.0,-0.01,0.0,4
2016-07-01 20:00:00,E,-0.0,-0.01,0.0,4
2016-07-02 00:00:00,E,-0.0,-0.01,0.0,4
2016-07-02 04:00:00,E,-0.0,-0.01,0.0,4
2016-07-02 08:00:00,F,0.0,0.0,0.02,5
2016-07-02 12:00:00,F,0.01,0.0,0.02,5
2016-07-02 16:00:00,F,0.01,0.0,0.02,5
2016-07-02 20:00:00,E,-0.01,-0.01,0.0,4
2016-07-03 00:00:00,E,0.0,-0.01,0.0,4
2016-07-03 04:00:00,E,-0.0,-0.01,0.0,4
2016-07-03 08:00:00,F,0.02,0.0,0.02,5
2016-07-03 12:00:00,F,0.0,0.0,0.02,5
2016-07-03 16:00:00,E,-0.0,-0.01,0.0,4
2016-07-03 20:00:00,E,-0.01,-0.01,0.0,4
2016-07-04 00:00:00,E,-0.0,-0.01,0.0,4
2016-07-04 04:00:00,E,-0.0,-0.01,0.0,4
2016-07-04 08:00:00,G,0.03,0.02,0.04,6
2016-07-04 12:00:00,F,0.01,0.0,0.02,5
2016-07-04 16:00:00,D,-0.02,-0.03,-0.01,3
2016-07-04 20:00:00,E,-0.01,-0.01,0.0,4
2016-07-05 00:00:00,E,-0.01,-0.01,0.0,4
2016-07-05 04:00:00,F,0.01,0.0,0.02,5
2016-07-05 08:00:00,F,0.01,0.0,0.02,5
2016-07-05 12:00:00,E,-0.01,-0.01,0.0,4
2016-07-05 16:00:00,F,0.01,0.0,0.02,5
2016-07-05 20:00:00,E,-0.0,-0.01,0.0,4
2016-07-06 00:00:00,E,-0.0,-0.01,0.0,4
2016-07-06 04:00:00,E,-0.0,-0.01,0.0,4
2016-07-06 08:00:00,F,0.01,0.0,0.02,5
2016-07-06 12:00:00,E,-0.0,-0.01,0.0,4
2016-07-06 16:00:00,E,-0.0,-0.01,0.0,4
2016-07-06 20:00:00,F,0.0,0.0,0.02,5
2016-07-07 00:00:00,E,-0.0,-0.01,0.0,4
2016-07-07 04:00:00,F,0.0,0.0,0.02,5
2016-07-07 08:00:00,G,0.03,0.02,0.04,6
2016-07-07 12:00:00,H,0.04,0.04,0.05,7
2016-07-07 16:00:00,C,-0.03,-0.05,-0.03,2
2016-07-07 20:00:00,E,-0.01,-0.01,0.0,4
2016-07-08 00:00:00,E,-0.01,-0.01,0.0,4
2016-07-08 04:00:00,F,0.0,0.0,0.02,5
2016-07-08 08:00:00,G,0.03,0.02,0.04,6
2016-07-08 12:00:00,F,0.01,0.0,0.02,5
2016-07-08 16:00:00,D,-0.02,-0.03,-0.01,3
2016-07-08 20:00:00,E,-0.01,-0.01,0.0,4
2016-07-09 00:00:00,E,-0.01,-0.01,0.0,4
2016-07-09 04:00:00,E,0.0,-0.01,0.0,4
2016-07-09 08:00:00,G,0.02,0.02,0.04,6
2016-07-09 12:00:00,F,0.01,0.0,0.02,5
2016-07-09 16:00:00,D,-0.01,-0.03,-0.01,3
2016-07-09 20:00:00,E,-0.01,-0.01,0.0,4
2016-07-10 00:00:00,E,-0.01,-0.01,0.0,4
2016-07-10 04:00:00,E,-0.0,-0.01,0.0,4
2016-07-10 08:00:00,F,0.01,0.0,0.02,5
2016-07-10 12:00:00,F,0.01,0.0,0.02,5
2016-07-10 16:00:00,E,-0.01,-0.01,0.0,4
2016-07-10 20:00:00,E,-0.01,-0.01,0.0,4
2016-07-11 00:00:00,E,-0.01,-0.01,0.0,4
2016-07-11 04:00:00,E,-0.01,-0.01,0.0,4
2016-07-11 08:00:00,E,0.0,-0.01,0.0,4
2016-07-11 12:00:00,G,0.03,0.02,0.04,6
2016-07-11 16:00:00,D,-0.01,-0.03,-0.01,3
2016-07-11 20:00:00,E,-0.0,-0.01,0.0,4
2016-07-12 00:00:00,E,-0.0,-0.01,0.0,4
2016-07-12 04:00:00,E,0.0,-0.01,0.0,4
2016-07-12 08:00:00,H,0.04,0.04,0.05,7
2016-07-12 12:00:00,F,0.0,0.0,0.02,5
2016-07-12 16:00:00,D,-0.02,-0.03,-0.01,3
2016-07-12 20:00:00,E,-0.01,-0.01,0.0,4
2016-07-13 00:00:00,E,-0.01,-0.01,0.0,4
2016-07-13 04:00:00,E,-0.0,-0.01,0.0,4
2016-07-13 08:00:00,F,0.0,0.0,0.02,5
2016-07-13 12:00:00,G,0.02,0.02,0.04,6
2016-07-13 16:00:00,E,-0.01,-0.01,0.0,4
2016-07-13 20:00:00,D,-0.02,-0.03,-0.01,3
2016-07-14 00:00:00,E,-0.0,-0.01,0.0,4
2016-07-14 04:00:00,E,-0.0,-0.01,0.0,4
2016-07-14 08:00:00,F,0.02,0.0,0.02,5
2016-07-14 12:00:00,F,0.01,0.0,0.02,5
2016-07-14 16:00:00,C,-0.04,-0.05,-0.03,2
2016-07-14 20:00:00,E,-0.0,-0.01,0.0,4
2016-07-15 00:00:00,F,0.0,0.0,0.02,5
2016-07-15 04:00:00,F,0.01,0.0,0.02,5
2016-07-15 08:00:00,G,0.02,0.02,0.04,6
2016-07-15 12:00:00,D,-0.02,-0.03,-0.01,3
2016-07-15 16:00:00,D,-0.02,-0.03,-0.01,3
2016-07-15 20:00:00,E,0.0,-0.01,0.0,4
2016-07-16 00:00:00,E,-0.0,-0.01,0.0,4
2016-07-16 04:00:00,F,0.01,0.0,0.02,5
