timestamp,alphabets,codewords,lower_boundaries,upper_boundaries,encoded_alphabets
2016-07-01 00:00:00,b,27.79,25.74,28.99,27
2016-07-01 04:00:00,Z,22.26,21.17,23.12,25
2016-07-01 08:00:00,Y,19.8,19.76,21.17,24
2016-07-01 12:00:00,W,18.66,17.9,18.68,22
2016-07-01 16:00:00,X,19.5,18.68,19.76,23
2016-07-01 20:00:00,W,18.41,17.9,18.68,22
2016-07-02 00:00:00,Y,20.4,19.76,21.17,24
2016-07-02 04:00:00,Z,21.24,21.17,23.12,25
2016-07-02 08:00:00,Y,19.84,19.76,21.17,24
2016-07-02 12:00:00,Y,21.09,19.76,21.17,24
2016-07-02 16:00:00,a,24.97,23.12,25.74,26
2016-07-02 20:00:00,a,24.69,23.12,25.74,26
2016-07-03 00:00:00,b,26.54,25.74,28.99,27
2016-07-03 04:00:00,a,24.74,23.12,25.74,26
2016-07-03 08:00:00,b,27.82,25.74,28.99,27
2016-07-03 12:00:00,c,29.58,28.99,32.63,28
2016-07-03 16:00:00,c,30.64,28.99,32.63,28
2016-07-03 20:00:00,Y,20.44,19.76,21.17,24
2016-07-04 00:00:00,b,25.75,25.74,28.99,27
2016-07-04 04:00:00,a,23.51,23.12,25.74,26
2016-07-04 08:00:00,a,25.45,23.12,25.74,26
2016-07-04 12:00:00,c,30.35,28.99,32.63,28
2016-07-04 16:00:00,c,30.71,28.99,32.63,28
2016-07-04 20:00:00,b,27.21,25.74,28.99,27
2016-07-05 00:00:00,b,26.71,25.74,28.99,27
2016-07-05 04:00:00,c,31.59,28.99,32.63,28
2016-07-05 08:00:00,c,31.2,28.99,32.63,28
2016-07-05 12:00:00,b,28.05,25.74,28.99,27
2016-07-05 16:00:00,c,31.92,28.99,32.63,28
2016-07-05 20:00:00,c,31.15,28.99,32.63,28
2016-07-06 00:00:00,c,30.51,28.99,32.63,28
2016-07-06 04:00:00,c,30.14,28.99,32.63,28
2016-07-06 08:00:00,c,31.01,28.99,32.63,28
2016-07-06 12:00:00,c,30.79,28.99,32.63,28
2016-07-06 16:00:00,b,28.1,25.74,28.99,27
2016-07-06 20:00:00,c,29.56,28.99,32.63,28
2016-07-07 00:00:00,b,28.3,25.74,28.99,27
2016-07-07 04:00:00,b,26.47,25.74,28.99,27
2016-07-07 08:00:00,c,29.32,28.99,32.63,28
2016-07-07 12:00:00,d,35.95,32.63,37.09,29
2016-07-07 16:00:00,d,34.51,32.63,37.09,29
2016-07-07 20:00:00,d,32.69,32.63,37.09,29
2016-07-08 00:00:00,c,29.99,28.99,32.63,28
2016-07-08 04:00:00,c,29.18,28.99,32.63,28
2016-07-08 08:00:00,c,30.44,28.99,32.63,28
2016-07-08 12:00:00,c,32.36,28.99,32.63,28
2016-07-08 16:00:00,d,33.98,32.63,37.09,29
2016-07-08 20:00:00,c,31.67,28.99,32.63,28
2016-07-09 00:00:00,c,29.84,28.99,32.63,28
2016-07-09 04:00:00,b,28.65,25.74,28.99,27
2016-07-09 08:00:00,c,29.7,28.99,32.63,28
2016-07-09 12:00:00,c,31.53,28.99,32.63,28
2016-07-09 16:00:00,c,32.04,28.99,32.63,28
2016-07-09 20:00:00,c,30.43,28.99,32.63,28
2016-07-10 00:00:00,c,29.44,28.99,32.63,28
2016-07-10 04:00:00,b,28.12,25.74,28.99,27
2016-07-10 08:00:00,c,29.05,28.99,32.63,28
2016-07-10 12:00:00,c,29.83,28.99,32.63,28
2016-07-10 16:00:00,c,30.5,28.99,32.63,28
2016-07-10 20:00:00,c,29.05,28.99,32.63,28
2016-07-11 00:00:00,b,28.9,25.74,28.99,27
2016-07-11 04:00:00,c,29.4,28.99,32.63,28
2016-07-11 08:00:00,c,30.88,28.99,32.63,28
2016-07-11 12:00:00,d,34.1,32.63,37.09,29
2016-07-11 16:00:00,d,33.68,32.63,37.09,29
2016-07-11 20:00:00,d,32.92,32.63,37.09,29
2016-07-12 00:00:00,d,33.52,32.63,37.09,29
2016-07-12 04:00:00,d,33.36,32.63,37.09,29
2016-07-12 08:00:00,d,35.65,32.63,37.09,29
2016-07-12 12:00:00,e,37.58,37.09,44.44,30
2016-07-12 16:00:00,e,38.95,37.09,44.44,30
2016-07-12 20:00:00,d,36.11,32.63,37.09,29
2016-07-13 00:00:00,d,36.88,32.63,37.09,29
2016-07-13 04:00:00,e,37.72,37.09,44.44,30
2016-07-13 08:00:00,d,35.47,32.63,37.09,29
2016-07-13 12:00:00,d,35.65,32.63,37.09,29
2016-07-13 16:00:00,d,36.58,32.63,37.09,29
2016-07-13 20:00:00,d,33.92,32.63,37.09,29
2016-07-14 00:00:00,d,33.96,32.63,37.09,29
2016-07-14 04:00:00,d,34.82,32.63,37.09,29
2016-07-14 08:00:00,d,36.33,32.63,37.09,29
2016-07-14 12:00:00,d,34.08,32.63,37.09,29
2016-07-14 16:00:00,c,32.31,28.99,32.63,28
2016-07-14 20:00:00,c,31.22,28.99,32.63,28
2016-07-15 00:00:00,d,32.66,32.63,37.09,29
2016-07-15 04:00:00,d,34.61,32.63,37.09,29
2016-07-15 08:00:00,c,32.01,28.99,32.63,28
2016-07-15 12:00:00,c,29.95,28.99,32.63,28
2016-07-15 16:00:00,Y,20.56,19.76,21.17,24
2016-07-15 20:00:00,a,24.64,23.12,25.74,26
2016-07-16 00:00:00,b,27.68,25.74,28.99,27
2016-07-16 04:00:00,b,28.47,25.74,28.99,27
2016-07-16 08:00:00,c,32.06,28.99,32.63,28
2016-07-16 12:00:00,d,33.2,32.63,37.09,29
2016-07-16 16:00:00,d,34.8,32.63,37.09,29
2016-07-16 20:00:00,c,31.69,28.99,32.63,28
2016-07-17 00:00:00,c,31.37,28.99,32.63,28
2016-07-17 04:00:00,c,32.03,28.99,32.63,28
2016-07-17 08:00:00,d,34.49,32.63,37.09,29
2016-07-17 12:00:00,e,37.85,37.09,44.44,30
2016-07-17 16:00:00,e,37.34,37.09,44.44,30
2016-07-17 20:00:00,d,33.75,32.63,37.09,29
2016-07-18 00:00:00,d,34.24,32.63,37.09,29
2016-07-18 04:00:00,d,35.26,32.63,37.09,29
2016-07-18 08:00:00,d,35.75,32.63,37.09,29
2016-07-18 12:00:00,e,37.48,37.09,44.44,30
2016-07-18 16:00:00,d,34.49,32.63,37.09,29
2016-07-18 20:00:00,d,34.1,32.63,37.09,29
2016-07-19 00:00:00,d,33.5,32.63,37.09,29
2016-07-19 04:00:00,c,32.41,28.99,32.63,28
2016-07-19 08:00:00,c,31.01,28.99,32.63,28
2016-07-19 12:00:00,c,31.08,28.99,32.63,28
2016-07-19 16:00:00,d,33.41,32.63,37.09,29
2016-07-19 20:00:00,d,32.82,32.63,37.09,29
2016-07-20 00:00:00,c,31.66,28.99,32.63,28
2016-07-20 04:00:00,d,33.03,32.63,37.09,29
2016-07-20 08:00:00,d,34.61,32.63,37.09,29
2016-07-20 12:00:00,d,34.26,32.63,37.09,29
2016-07-20 16:00:00,d,35.14,32.63,37.09,29
2016-07-20 20:00:00,d,35.35,32.63,37.09,29
2016-07-21 00:00:00,d,35.35,32.63,37.09,29
2016-07-21 04:00:00,d,35.37,32.63,37.09,29
2016-07-21 08:00:00,d,37.0,32.63,37.09,29
2016-07-21 12:00:00,d,33.59,32.63,37.09,29
2016-07-21 16:00:00,d,36.47,32.63,37.09,29
2016-07-21 20:00:00,d,36.3,32.63,37.09,29
2016-07-22 00:00:00,d,36.12,32.63,37.09,29
2016-07-22 04:00:00,d,36.51,32.63,37.09,29
2016-07-22 08:00:00,e,37.6,37.09,44.44,30
2016-07-22 12:00:00,e,38.34,37.09,44.44,30
2016-07-22 16:00:00,e,38.87,37.09,44.44,30
2016-07-22 20:00:00,e,37.62,37.09,44.44,30
2016-07-23 00:00:00,e,37.3,37.09,44.44,30
2016-07-23 04:00:00,d,36.49,32.63,37.09,29
2016-07-23 08:00:00,e,39.8,37.09,44.44,30
2016-07-23 12:00:00,e,39.11,37.09,44.44,30
2016-07-23 16:00:00,e,39.89,37.09,44.44,30
2016-07-23 20:00:00,e,38.43,37.09,44.44,30
2016-07-24 00:00:00,e,38.04,37.09,44.44,30
2016-07-24 04:00:00,e,38.6,37.09,44.44,30
2016-07-24 08:00:00,e,41.38,37.09,44.44,30
2016-07-24 12:00:00,e,40.96,37.09,44.44,30
2016-07-24 16:00:00,e,44.25,37.09,44.44,30
2016-07-24 20:00:00,e,40.19,37.09,44.44,30
2016-07-25 00:00:00,e,40.2,37.09,44.44,30
2016-07-25 04:00:00,e,39.66,37.09,44.44,30
2016-07-25 08:00:00,e,42.03,37.09,44.44,30
2016-07-25 12:00:00,e,42.01,37.09,44.44,30
2016-07-25 16:00:00,e,43.58,37.09,44.44,30
2016-07-25 20:00:00,e,40.2,37.09,44.44,30
2016-07-26 00:00:00,e,39.06,37.09,44.44,30
2016-07-26 04:00:00,e,38.8,37.09,44.44,30
2016-07-26 08:00:00,e,39.73,37.09,44.44,30
2016-07-26 12:00:00,e,40.64,37.09,44.44,30
2016-07-26 16:00:00,e,43.6,37.09,44.44,30
2016-07-26 20:00:00,e,40.98,37.09,44.44,30
2016-07-27 00:00:00,e,38.66,37.09,44.44,30
2016-07-27 04:00:00,e,39.48,37.09,44.44,30
2016-07-27 08:00:00,e,40.1,37.09,44.44,30
2016-07-27 12:00:00,e,39.39,37.09,44.44,30
2016-07-27 16:00:00,e,42.26,37.09,44.44,30
2016-07-27 20:00:00,e,39.94,37.09,44.44,30
2016-07-28 00:00:00,e,40.52,37.09,44.44,30
2016-07-28 04:00:00,e,39.64,37.09,44.44,30
2016-07-28 08:00:00,e,39.13,37.09,44.44,30
2016-07-28 12:00:00,e,40.56,37.09,44.44,30
2016-07-28 16:00:00,e,43.7,37.09,44.44,30
2016-07-28 20:00:00,e,39.71,37.09,44.44,30
2016-07-29 00:00:00,e,39.32,37.09,44.44,30
2016-07-29 04:00:00,e,39.11,37.09,44.44,30
2016-07-29 08:00:00,e,41.65,37.09,44.44,30
2016-07-29 12:00:00,e,42.65,37.09,44.44,30
2016-07-29 16:00:00,e,41.68,37.09,44.44,30
2016-07-29 20:00:00,e,39.85,37.09,44.44,30
2016-07-30 00:00:00,e,40.75,37.09,44.44,30
2016-07-30 04:00:00,e,39.83,37.09,44.44,30
2016-07-30 08:00:00,e,44.44,37.09,44.44,30
2016-07-30 12:00:00,e,44.28,37.09,44.44,30
2016-07-30 16:00:00,e,41.56,37.09,44.44,30
2016-07-30 20:00:00,e,37.76,37.09,44.44,30
2016-07-31 00:00:00,e,38.27,37.09,44.44,30
2016-07-31 04:00:00,e,38.27,37.09,44.44,30
2016-07-31 08:00:00,e,38.27,37.09,44.44,30
2016-07-31 12:00:00,e,38.27,37.09,44.44,30
2016-07-31 16:00:00,e,38.27,37.09,44.44,30
2016-07-31 20:00:00,e,38.27,37.09,44.44,30
2016-08-01 00:00:00,d,35.88,32.63,37.09,29
2016-08-01 04:00:00,d,34.15,32.63,37.09,29
2016-08-01 08:00:00,d,35.0,32.63,37.09,29
2016-08-01 12:00:00,d,36.55,32.63,37.09,29
2016-08-01 16:00:00,e,38.78,37.09,44.44,30
2016-08-01 20:00:00,d,36.04,32.63,37.09,29
2016-08-02 00:00:00,d,35.79,32.63,37.09,29
2016-08-02 04:00:00,d,34.91,32.63,37.09,29
2016-08-02 08:00:00,e,37.2,37.09,44.44,30
2016-08-02 12:00:00,e,38.52,37.09,44.44,30
2016-08-02 16:00:00,d,34.38,32.63,37.09,29
2016-08-02 20:00:00,d,34.05,32.63,37.09,29
2016-08-03 00:00:00,c,32.08,28.99,32.63,28
2016-08-03 04:00:00,c,31.99,28.99,32.63,28
2016-08-03 08:00:00,c,29.58,28.99,32.63,28
2016-08-03 12:00:00,c,31.81,28.99,32.63,28
2016-08-03 16:00:00,d,33.27,32.63,37.09,29
2016-08-03 20:00:00,c,31.45,28.99,32.63,28
2016-08-04 00:00:00,c,32.15,28.99,32.63,28
2016-08-04 04:00:00,c,31.78,28.99,32.63,28
2016-08-04 08:00:00,d,34.26,32.63,37.09,29
2016-08-04 12:00:00,c,32.08,28.99,32.63,28
2016-08-04 16:00:00,d,35.56,32.63,37.09,29
