lower_boundaries,upper_boundaries,alphabets
-2.374250173568726,-1.574934202030504,A
-1.574934202030504,-1.0453034063272626,B
-1.0453034063272626,-0.780277039026466,C
-0.780277039026466,-0.5900279081908715,D
-0.5900279081908715,-0.45184719646306193,E
-0.45184719646306193,-0.35350765522190003,F
-0.35350765522190003,-0.2808064796682723,G
-0.2808064796682723,-0.22302655981453906,H
-0.22302655981453906,-0.17305786633714126,I
-0.17305786633714126,-0.12413492857669085,J
-0.12413492857669085,-0.0696553521336123,K
-0.0696553521336123,-0.002404516172113156,L
-0.002404516172113156,0.087874961855618,M
0.087874961855618,0.2113895313043883,N
0.2113895313043883,0.3802394225847465,O
0.3802394225847465,0.6146149357624,P
0.6146149357624,0.9896252350563112,Q
0.9896252350563112,1.9520001411437997,R
