lower_boundaries,upper_boundaries,alphabets
-1.597673080288447,3.334102322624978,A
3.334102322624978,5.983687407015862,B
5.983687407015862,8.258253379865746,C
8.258253379865746,10.069451201052779,D
10.069451201052779,11.686455491570776,E
11.686455491570776,13.304277585682623,F
13.304277585682623,14.681203139279935,G
14.681203139279935,15.775358289284517,H
15.775358289284517,16.753183083302858,I
16.753183083302858,17.701933664950356,J
17.701933664950356,18.718425129921407,K
18.718425129921407,19.998890253612693,L
19.998890253612693,21.579495973258723,M
21.579495973258723,23.73085660297872,N
23.73085660297872,27.312126468639818,O
27.312126468639818,31.658237206030815,P
31.658237206030815,36.70719443578564,Q
36.70719443578564,41.38332215639261,R
