timestamp,alphabets,codewords,lower_boundaries,upper_boundaries,encoded_alphabets
2016-07-01 02:00:00,D,0.43,0.43,0.46,3
2016-07-01 06:00:00,D,0.45,0.43,0.46,3
2016-07-01 10:00:00,D,0.43,0.43,0.46,3
2016-07-01 14:00:00,D,0.46,0.43,0.46,3
2016-07-01 18:00:00,E,0.48,0.46,0.49,4
2016-07-01 22:00:00,E,0.48,0.46,0.49,4
2016-07-02 02:00:00,E,0.47,0.46,0.49,4
2016-07-02 06:00:00,E,0.47,0.46,0.49,4
2016-07-02 10:00:00,H,0.55,0.54,0.56,7
2016-07-02 14:00:00,I,0.58,0.56,0.58,8
2016-07-02 18:00:00,I,0.57,0.56,0.58,8
2016-07-02 22:00:00,I,0.57,0.56,0.58,8
2016-07-03 02:00:00,H,0.54,0.54,0.56,7
2016-07-03 06:00:00,F,0.49,0.49,0.52,5
2016-07-03 10:00:00,H,0.55,0.54,0.56,7
2016-07-03 14:00:00,I,0.58,0.56,0.58,8
2016-07-03 18:00:00,J,0.59,0.58,0.6,9
2016-07-03 22:00:00,J,0.58,0.58,0.6,9
2016-07-04 02:00:00,H,0.55,0.54,0.56,7
2016-07-04 06:00:00,E,0.48,0.46,0.49,4
2016-07-04 10:00:00,E,0.48,0.46,0.49,4
2016-07-04 14:00:00,H,0.55,0.54,0.56,7
2016-07-04 18:00:00,H,0.55,0.54,0.56,7
2016-07-04 22:00:00,I,0.57,0.56,0.58,8
2016-07-05 02:00:00,G,0.52,0.52,0.54,6
2016-07-05 06:00:00,E,0.49,0.46,0.49,4
2016-07-05 10:00:00,H,0.56,0.54,0.56,7
2016-07-05 14:00:00,H,0.55,0.54,0.56,7
2016-07-05 18:00:00,J,0.6,0.58,0.6,9
2016-07-05 22:00:00,J,0.59,0.58,0.6,9
2016-07-06 02:00:00,I,0.57,0.56,0.58,8
2016-07-06 06:00:00,F,0.51,0.49,0.52,5
2016-07-06 10:00:00,G,0.54,0.52,0.54,6
2016-07-06 14:00:00,I,0.57,0.56,0.58,8
2016-07-06 18:00:00,J,0.58,0.58,0.6,9
2016-07-06 22:00:00,J,0.59,0.58,0.6,9
2016-07-07 02:00:00,H,0.55,0.54,0.56,7
2016-07-07 06:00:00,E,0.48,0.46,0.49,4
