timestamp,alphabets,codewords,lower_boundaries,upper_boundaries,encoded_alphabets
2002-01-01 00:00:00,A,0.07,0.0,0.09,0
2002-01-01 02:00:00,A,0.09,0.0,0.09,0
2002-01-01 04:00:00,B,0.1,0.09,0.16,1
2002-01-01 06:00:00,B,0.1,0.09,0.16,1
2002-01-01 08:00:00,B,0.1,0.09,0.16,1
2002-01-01 10:00:00,B,0.1,0.09,0.16,1
2002-01-01 12:00:00,A,0.06,0.0,0.09,0
2002-01-01 14:00:00,B,0.11,0.09,0.16,1
2002-01-01 16:00:00,B,0.11,0.09,0.16,1
2002-01-01 18:00:00,B,0.12,0.09,0.16,1
2002-01-01 20:00:00,B,0.11,0.09,0.16,1
2002-01-01 22:00:00,B,0.1,0.09,0.16,1
2002-01-02 00:00:00,A,0.08,0.0,0.09,0
2002-01-02 02:00:00,A,0.08,0.0,0.09,0
2002-01-02 04:00:00,A,0.07,0.0,0.09,0
2002-01-02 06:00:00,A,0.06,0.0,0.09,0
2002-01-02 08:00:00,A,0.03,0.0,0.09,0
2002-01-02 10:00:00,A,0.01,0.0,0.09,0
2002-01-02 12:00:00,A,0.01,0.0,0.09,0
2002-01-02 14:00:00,A,0.0,0.0,0.09,0
2002-01-02 16:00:00,A,0.0,0.0,0.09,0
2002-01-02 18:00:00,A,0.0,0.0,0.09,0
2002-01-02 20:00:00,A,0.0,0.0,0.09,0
2002-01-02 22:00:00,A,0.0,0.0,0.09,0
2002-01-03 00:00:00,A,0.0,0.0,0.09,0
2002-01-03 02:00:00,A,0.0,0.0,0.09,0
2002-01-03 04:00:00,B,0.13,0.09,0.16,1
2002-01-03 06:00:00,B,0.15,0.09,0.16,1
2002-01-03 08:00:00,C,0.17,0.16,0.24,2
2002-01-03 10:00:00,C,0.18,0.16,0.24,2
2002-01-03 12:00:00,C,0.17,0.16,0.24,2
2002-01-03 14:00:00,C,0.19,0.16,0.24,2
2002-01-03 16:00:00,B,0.11,0.09,0.16,1
2002-01-03 18:00:00,B,0.16,0.09,0.16,1
2002-01-03 20:00:00,B,0.14,0.09,0.16,1
2002-01-03 22:00:00,B,0.14,0.09,0.16,1
2002-01-04 00:00:00,B,0.14,0.09,0.16,1
2002-01-04 02:00:00,B,0.13,0.09,0.16,1
2002-01-04 04:00:00,B,0.12,0.09,0.16,1
2002-01-04 06:00:00,B,0.1,0.09,0.16,1
2002-01-04 08:00:00,B,0.09,0.09,0.16,1
2002-01-04 10:00:00,A,0.08,0.0,0.09,0
2002-01-04 12:00:00,A,0.06,0.0,0.09,0
2002-01-04 14:00:00,A,0.04,0.0,0.09,0
2002-01-04 16:00:00,A,0.04,0.0,0.09,0
2002-01-04 18:00:00,A,0.04,0.0,0.09,0
2002-01-04 20:00:00,A,0.02,0.0,0.09,0
2002-01-04 22:00:00,A,0.02,0.0,0.09,0
2002-01-05 00:00:00,A,0.02,0.0,0.09,0
2002-01-05 02:00:00,A,0.02,0.0,0.09,0
2002-01-05 04:00:00,A,0.02,0.0,0.09,0
2002-01-05 06:00:00,A,0.03,0.0,0.09,0
2002-01-05 08:00:00,B,0.11,0.09,0.16,1
2002-01-05 10:00:00,C,0.19,0.16,0.24,2
2002-01-05 12:00:00,C,0.2,0.16,0.24,2
2002-01-05 14:00:00,C,0.2,0.16,0.24,2
2002-01-05 16:00:00,C,0.18,0.16,0.24,2
2002-01-05 18:00:00,C,0.19,0.16,0.24,2
2002-01-05 20:00:00,B,0.13,0.09,0.16,1
2002-01-05 22:00:00,C,0.2,0.16,0.24,2
2002-01-06 00:00:00,C,0.2,0.16,0.24,2
2002-01-06 02:00:00,C,0.22,0.16,0.24,2
2002-01-06 04:00:00,C,0.22,0.16,0.24,2
2002-01-06 06:00:00,C,0.2,0.16,0.24,2
2002-01-06 08:00:00,C,0.18,0.16,0.24,2
2002-01-06 10:00:00,C,0.17,0.16,0.24,2
2002-01-06 12:00:00,B,0.16,0.09,0.16,1
2002-01-06 14:00:00,B,0.14,0.09,0.16,1
2002-01-06 16:00:00,B,0.12,0.09,0.16,1
2002-01-06 18:00:00,A,0.07,0.0,0.09,0
2002-01-06 20:00:00,A,0.06,0.0,0.09,0
2002-01-06 22:00:00,A,0.06,0.0,0.09,0
2002-01-07 00:00:00,A,0.05,0.0,0.09,0
2002-01-07 02:00:00,A,0.05,0.0,0.09,0
2002-01-07 04:00:00,A,0.05,0.0,0.09,0
2002-01-07 06:00:00,A,0.05,0.0,0.09,0
2002-01-07 08:00:00,A,0.05,0.0,0.09,0
2002-01-07 10:00:00,A,0.06,0.0,0.09,0
2002-01-07 12:00:00,B,0.11,0.09,0.16,1
2002-01-07 14:00:00,C,0.18,0.16,0.24,2
2002-01-07 16:00:00,C,0.21,0.16,0.24,2
2002-01-07 18:00:00,C,0.2,0.16,0.24,2
2002-01-07 20:00:00,C,0.18,0.16,0.24,2
2002-01-07 22:00:00,C,0.2,0.16,0.24,2
2002-01-08 00:00:00,B,0.16,0.09,0.16,1
2002-01-08 02:00:00,C,0.19,0.16,0.24,2
2002-01-08 04:00:00,C,0.21,0.16,0.24,2
2002-01-08 06:00:00,C,0.22,0.16,0.24,2
2002-01-08 08:00:00,C,0.21,0.16,0.24,2
2002-01-08 10:00:00,C,0.21,0.16,0.24,2
2002-01-08 12:00:00,C,0.2,0.16,0.24,2
2002-01-08 14:00:00,C,0.18,0.16,0.24,2
2002-01-08 16:00:00,C,0.16,0.16,0.24,2
2002-01-08 18:00:00,B,0.15,0.09,0.16,1
2002-01-08 20:00:00,B,0.13,0.09,0.16,1
2002-01-08 22:00:00,B,0.09,0.09,0.16,1
2002-01-09 00:00:00,A,0.08,0.0,0.09,0
2002-01-09 02:00:00,A,0.06,0.0,0.09,0
2002-01-09 04:00:00,A,0.06,0.0,0.09,0
