True Values,Predicted Values,True Characters,Predicted Characters,Character Distance,Matching
-0.42,-0.10433738,F,K,5,0
-0.04,-0.009961963,L,L,0,1
0.3,0.1948347,O,N,1,0
0.53,0.27438444,P,O,1,0
-0.18,-0.2686452,I,H,1,0
-0.25,-0.33689013,H,G,1,0
0.14,-0.09622967,N,K,3,0
0.16,-0.11764787,N,K,3,0
0.56,0.11779519,P,N,2,0
0.63,0.13667579,Q,N,3,0
-0.44,-0.1343144,F,J,4,0
-0.21,-0.19725883,I,I,0,1
-0.19,-0.13570529,I,J,1,0
0.16,-0.04210166,N,L,2,0
-0.25,0.14337616,H,N,6,0
0.58,0.08711076,P,M,3,0
-0.18,-0.27452525,I,H,1,0
-0.11,-0.1311691,K,J,1,0
-0.11,-0.0030957833,K,L,1,0
0.04,0.0644113,M,M,0,1
-0.04,0.078737095,L,M,1,0
0.18,0.26341295,N,O,1,0
-0.46,-0.19887963,E,I,4,0
-0.3,-0.30513838,G,G,0,1
-0.3,-0.09428304,G,K,4,0
-0.11,-0.021032177,K,L,1,0
0.6,0.2460337,P,O,1,0
0.6,0.27271593,P,O,1,0
-0.39,-0.3248082,F,G,1,0
-0.26,-0.16099423,H,J,2,0
0.37,-0.107550226,O,K,4,0
-0.56,0.04159093,E,M,8,0
0.56,0.1681804,P,N,2,0
-0.19,0.1609005,I,N,5,0
-0.3,-0.13683851,G,J,3,0
0.09,-0.036379382,N,L,2,0
-0.4,-0.08809288,F,K,5,0
-0.14,-0.0073472857,J,L,2,0
0.42,0.2352745,P,O,1,0
0.37,0.30714917,O,O,0,1
-0.32,-0.30414367,G,G,0,1
-0.09,-0.09364423,K,K,0,1
-0.05,-0.04691849,L,L,0,1
-0.02,0.0652575,L,M,1,0
0.39,0.15529794,P,N,2,0
0.46,0.10113786,P,N,2,0
0.09,-0.04160048,N,L,2,0
-0.35,-0.13535999,G,J,3,0
-0.04,-0.018965103,L,L,0,1
0.3,0.17303376,O,N,1,0
0.53,0.27332762,P,O,1,0
-0.18,-0.26539886,I,H,1,0
-0.25,-0.3198361,H,G,1,0
0.14,-0.1125658,N,K,3,0
0.16,-0.11434703,N,K,3,0
0.56,0.15549135,P,N,2,0
0.63,0.15257595,Q,N,3,0
-0.44,-0.14181903,F,J,4,0
-0.21,-0.18120264,I,I,0,1
-0.19,-0.13818356,I,J,1,0
0.16,-0.034164146,N,L,2,0
-0.25,0.15461516,H,N,6,0
0.58,0.11885182,P,N,2,0
-0.18,-0.28256264,I,G,2,0
-0.11,-0.14073436,K,J,1,0
-0.11,-0.0030803978,K,L,1,0
0.04,0.067620516,M,M,0,1
-0.04,0.08769778,L,M,1,0
0.18,0.27325454,N,O,1,0
-0.46,-0.18589963,E,I,4,0
-0.3,-0.29940078,G,G,0,1
-0.3,-0.07400988,G,K,4,0
-0.11,-0.026680537,K,L,1,0
0.6,0.19752543,P,N,2,0
0.6,0.27302384,P,O,1,0
-0.39,-0.33385307,F,G,1,0
-0.26,-0.16387114,H,J,2,0
0.37,-0.10921643,O,K,4,0
-0.56,0.042365573,E,M,8,0
0.56,0.15618712,P,N,2,0
-0.19,0.14895701,I,N,5,0
-0.3,-0.13559043,G,J,3,0
0.09,-0.036382854,N,L,2,0
-0.4,-0.09725354,F,K,5,0
-0.14,-0.025329903,J,L,2,0
0.42,0.20503888,P,N,2,0
0.37,0.3194109,O,O,0,1
-0.32,-0.28774437,G,G,0,1
-0.09,-0.1028958,K,K,0,1
-0.05,-0.059454925,L,L,0,1
-0.02,0.06795628,L,M,1,0
0.39,0.15523122,P,N,2,0
0.46,0.09851928,P,N,2,0
0.09,-0.032858044,N,L,2,0
-0.35,-0.13750646,G,J,3,0
-0.55,-0.066320516,E,L,7,0
0.3,0.14377913,O,N,1,0
0.53,0.25385422,P,O,1,0
-0.18,-0.28263262,I,G,2,0
-0.25,-0.31597415,H,G,1,0
0.14,-0.1256991,N,J,4,0
0.16,-0.12134258,N,K,3,0
0.56,0.16058458,P,N,2,0
0.63,0.13720375,Q,N,3,0
-0.44,-0.147242,F,J,4,0
-0.21,-0.16518782,I,J,1,0
-0.19,-0.14270446,I,J,1,0
0.16,-0.043687478,N,L,2,0
-0.25,0.15285482,H,N,6,0
0.58,0.12866682,P,N,2,0
-0.18,-0.29008213,I,G,2,0
-0.11,-0.15482582,K,J,1,0
-0.11,-0.009151485,K,L,1,0
0.04,0.069576055,M,M,0,1
-0.04,0.09318598,L,N,2,0
0.18,0.27247462,N,O,1,0
-0.46,-0.18765667,E,I,4,0
-0.3,-0.29853934,G,G,0,1
-0.3,-0.07120613,G,K,4,0
-0.11,-0.04010877,K,L,1,0
0.6,0.16305715,P,N,2,0
0.6,0.2588393,P,O,1,0
-0.39,-0.323766,F,G,1,0
-0.26,-0.16251075,H,J,2,0
0.37,-0.11614399,O,K,4,0
-0.56,0.042199396,E,M,8,0
0.56,0.15542993,P,N,2,0
-0.19,0.13570635,I,N,5,0
-0.3,-0.14419788,G,J,3,0
0.09,-0.040647373,N,L,2,0
-0.4,-0.104351595,F,K,5,0
-0.14,-0.033480614,J,L,2,0
0.42,0.19996953,P,N,2,0
0.37,0.31774548,O,O,0,1
-0.32,-0.30401862,G,G,0,1
-0.09,-0.11638051,K,K,0,1
-0.05,-0.06818476,L,L,0,1
-0.02,0.0638549,L,M,1,0
0.39,0.15767342,P,N,2,0
0.46,0.09732553,P,N,2,0
0.09,-0.023178399,N,L,2,0
-0.35,-0.13654792,G,J,3,0
-0.55,-0.075359136,E,K,6,0
0.58,0.095219515,P,N,2,0
0.53,0.2159247,P,O,1,0
-0.18,-0.30270404,I,G,2,0
-0.25,-0.32373497,H,G,1,0
0.14,-0.13446788,N,J,4,0
0.16,-0.12624554,N,J,4,0
0.56,0.19278671,P,N,2,0
0.63,0.12331895,Q,N,3,0
-0.44,-0.15994997,F,J,4,0
-0.21,-0.15031472,I,J,1,0
-0.19,-0.15594491,I,J,1,0
0.16,-0.043115616,N,L,2,0
-0.25,0.15745617,H,N,6,0
0.58,0.121837586,P,N,2,0
-0.18,-0.29423556,I,G,2,0
-0.11,-0.16950968,K,J,1,0
