timestamp,alphabets,codewords,lower_boundaries,upper_boundaries,encoded_alphabets
2020-01-01 00:10:00,E,0.44,-0.16,0.71,4
2020-01-01 12:10:00,D,-0.22,-1.17,-0.16,3
2020-01-02 00:10:00,E,0.28,-0.16,0.71,4
2020-01-02 12:10:00,E,0.18,-0.16,0.71,4
2020-01-03 00:10:00,E,0.47,-0.16,0.71,4
2020-01-03 12:10:00,E,-0.04,-0.16,0.71,4
2020-01-04 00:10:00,D,-0.9,-1.17,-0.16,3
2020-01-04 12:10:00,D,-0.44,-1.17,-0.16,3
2020-01-05 00:10:00,E,0.39,-0.16,0.71,4
2020-01-05 12:10:00,E,0.65,-0.16,0.71,4
2020-01-06 00:10:00,E,0.23,-0.16,0.71,4
2020-01-06 12:10:00,E,-0.12,-0.16,0.71,4
2020-01-07 00:10:00,E,0.13,-0.16,0.71,4
2020-01-07 12:10:00,E,0.07,-0.16,0.71,4
2020-01-08 00:10:00,F,0.88,0.71,2.11,5
2020-01-08 12:10:00,E,-0.03,-0.16,0.71,4
2020-01-09 00:10:00,F,0.95,0.71,2.11,5
2020-01-09 12:10:00,C,-1.45,-2.8,-1.17,2
2020-01-10 00:10:00,D,-0.57,-1.17,-0.16,3
2020-01-10 12:10:00,E,-0.06,-0.16,0.71,4
2020-01-11 00:10:00,E,0.54,-0.16,0.71,4
2020-01-11 12:10:00,E,-0.03,-0.16,0.71,4
2020-01-12 00:10:00,D,-0.45,-1.17,-0.16,3
2020-01-12 12:10:00,D,-0.21,-1.17,-0.16,3
2020-01-13 00:10:00,D,-0.43,-1.17,-0.16,3
2020-01-13 12:10:00,E,-0.15,-0.16,0.71,4
2020-01-14 00:10:00,E,0.38,-0.16,0.71,4
2020-01-14 12:10:00,E,-0.13,-0.16,0.71,4
2020-01-15 00:10:00,E,0.25,-0.16,0.71,4
2020-01-15 12:10:00,D,-0.25,-1.17,-0.16,3
2020-01-16 00:10:00,D,-0.69,-1.17,-0.16,3
2020-01-16 12:10:00,E,0.17,-0.16,0.71,4
2020-01-17 00:10:00,E,-0.02,-0.16,0.71,4
2020-01-17 12:10:00,D,-0.18,-1.17,-0.16,3
2020-01-18 00:10:00,E,-0.06,-0.16,0.71,4
2020-01-18 12:10:00,D,-0.31,-1.17,-0.16,3
2020-01-19 00:10:00,E,-0.07,-0.16,0.71,4
2020-01-19 12:10:00,E,0.09,-0.16,0.71,4
2020-01-20 00:10:00,E,0.04,-0.16,0.71,4
2020-01-20 12:10:00,E,0.08,-0.16,0.71,4
2020-01-21 00:10:00,E,0.0,-0.16,0.71,4
2020-01-21 12:10:00,E,0.04,-0.16,0.71,4
2020-01-22 00:10:00,E,-0.04,-0.16,0.71,4
2020-01-22 12:10:00,E,0.2,-0.16,0.71,4
2020-01-23 00:10:00,E,0.01,-0.16,0.71,4
2020-01-23 12:10:00,D,-0.41,-1.17,-0.16,3
2020-01-24 00:10:00,E,0.12,-0.16,0.71,4
2020-01-24 12:10:00,E,-0.01,-0.16,0.71,4
2020-01-25 00:10:00,E,-0.01,-0.16,0.71,4
2020-01-25 12:10:00,E,-0.04,-0.16,0.71,4
2020-01-26 00:10:00,E,0.01,-0.16,0.71,4
2020-01-26 12:10:00,E,0.0,-0.16,0.71,4
2020-01-27 00:10:00,F,1.02,0.71,2.11,5
2020-01-27 12:10:00,C,-1.24,-2.8,-1.17,2
2020-01-28 00:10:00,E,-0.11,-0.16,0.71,4
2020-01-28 12:10:00,E,-0.04,-0.16,0.71,4
2020-01-29 00:10:00,E,0.27,-0.16,0.71,4
2020-01-29 12:10:00,E,0.45,-0.16,0.71,4
2020-01-30 00:10:00,E,0.17,-0.16,0.71,4
2020-01-30 12:10:00,E,0.08,-0.16,0.71,4
2020-01-31 00:10:00,E,-0.09,-0.16,0.71,4
2020-01-31 12:10:00,E,0.4,-0.16,0.71,4
2020-02-01 00:10:00,E,0.17,-0.16,0.71,4
2020-02-01 12:10:00,F,0.79,0.71,2.11,5
2020-02-02 00:10:00,F,0.71,0.71,2.11,5
2020-02-02 12:10:00,C,-1.39,-2.8,-1.17,2
2020-02-03 00:10:00,D,-0.62,-1.17,-0.16,3
2020-02-03 12:10:00,D,-0.28,-1.17,-0.16,3
2020-02-04 00:10:00,E,0.33,-0.16,0.71,4
2020-02-04 12:10:00,E,0.62,-0.16,0.71,4
2020-02-05 00:10:00,F,0.83,0.71,2.11,5
2020-02-05 12:10:00,D,-0.48,-1.17,-0.16,3
2020-02-06 00:10:00,D,-0.26,-1.17,-0.16,3
2020-02-06 12:10:00,E,0.1,-0.16,0.71,4
2020-02-07 00:10:00,D,-0.17,-1.17,-0.16,3
2020-02-07 12:10:00,F,0.88,0.71,2.11,5
2020-02-08 00:10:00,E,-0.03,-0.16,0.71,4
2020-02-08 12:10:00,D,-0.68,-1.17,-0.16,3
2020-02-09 00:10:00,D,-0.62,-1.17,-0.16,3
2020-02-09 12:10:00,E,-0.14,-0.16,0.71,4
2020-02-10 00:10:00,E,-0.01,-0.16,0.71,4
2020-02-10 12:10:00,E,0.25,-0.16,0.71,4
2020-02-11 00:10:00,E,0.63,-0.16,0.71,4
2020-02-11 12:10:00,E,0.4,-0.16,0.71,4
2020-02-12 00:10:00,D,-0.68,-1.17,-0.16,3
2020-02-12 12:10:00,D,-0.58,-1.17,-0.16,3
2020-02-13 00:10:00,D,-0.31,-1.17,-0.16,3
2020-02-13 12:10:00,E,0.53,-0.16,0.71,4
2020-02-14 00:10:00,E,-0.1,-0.16,0.71,4
2020-02-14 12:10:00,E,0.32,-0.16,0.71,4
2020-02-15 00:10:00,D,-0.22,-1.17,-0.16,3
2020-02-15 12:10:00,E,0.18,-0.16,0.71,4
2020-02-16 00:10:00,E,0.28,-0.16,0.71,4
2020-02-16 12:10:00,E,0.02,-0.16,0.71,4
2020-02-17 00:10:00,E,0.04,-0.16,0.71,4
2020-02-17 12:10:00,E,0.26,-0.16,0.71,4
2020-02-18 00:10:00,E,0.09,-0.16,0.71,4
2020-02-18 12:10:00,E,0.26,-0.16,0.71,4
2020-02-19 00:10:00,E,0.1,-0.16,0.71,4
2020-02-19 12:10:00,E,0.56,-0.16,0.71,4
2020-02-20 00:10:00,D,-0.51,-1.17,-0.16,3
2020-02-20 12:10:00,D,-0.3,-1.17,-0.16,3
2020-02-21 00:10:00,D,-1.12,-1.17,-0.16,3
2020-02-21 12:10:00,E,0.12,-0.16,0.71,4
2020-02-22 00:10:00,E,0.28,-0.16,0.71,4
2020-02-22 12:10:00,E,0.03,-0.16,0.71,4
2020-02-23 00:10:00,D,-0.45,-1.17,-0.16,3
2020-02-23 12:10:00,E,0.02,-0.16,0.71,4
2020-02-24 00:10:00,E,-0.02,-0.16,0.71,4
2020-02-24 12:10:00,D,-0.29,-1.17,-0.16,3
2020-02-25 00:10:00,E,0.31,-0.16,0.71,4
2020-02-25 12:10:00,D,-0.59,-1.17,-0.16,3
2020-02-26 00:10:00,E,-0.1,-0.16,0.71,4
2020-02-26 12:10:00,E,0.07,-0.16,0.71,4
2020-02-27 00:10:00,E,0.01,-0.16,0.71,4
2020-02-27 12:10:00,E,0.2,-0.16,0.71,4
2020-02-28 00:10:00,D,-0.22,-1.17,-0.16,3
2020-02-28 12:10:00,E,0.28,-0.16,0.71,4
2020-02-29 00:10:00,E,-0.1,-0.16,0.71,4
2020-02-29 12:10:00,D,-0.24,-1.17,-0.16,3
2020-03-01 00:10:00,E,-0.04,-0.16,0.71,4
2020-03-01 12:10:00,E,0.04,-0.16,0.71,4
2020-03-02 00:10:00,E,0.08,-0.16,0.71,4
2020-03-02 12:10:00,E,-0.09,-0.16,0.71,4
2020-03-03 00:10:00,E,0.12,-0.16,0.71,4
2020-03-03 12:10:00,D,-0.25,-1.17,-0.16,3
2020-03-04 00:10:00,E,-0.06,-0.16,0.71,4
2020-03-04 12:10:00,E,0.03,-0.16,0.71,4
2020-03-05 00:10:00,E,0.2,-0.16,0.71,4
2020-03-05 12:10:00,E,0.41,-0.16,0.71,4
2020-03-06 00:10:00,E,0.04,-0.16,0.71,4
2020-03-06 12:10:00,E,0.12,-0.16,0.71,4
2020-03-07 00:10:00,E,-0.03,-0.16,0.71,4
2020-03-07 12:10:00,E,0.38,-0.16,0.71,4
2020-03-08 00:10:00,D,-0.21,-1.17,-0.16,3
2020-03-08 12:10:00,E,0.31,-0.16,0.71,4
2020-03-09 00:10:00,E,-0.08,-0.16,0.71,4
2020-03-09 12:10:00,D,-0.78,-1.17,-0.16,3
2020-03-10 00:10:00,E,0.16,-0.16,0.71,4
2020-03-10 12:10:00,E,0.24,-0.16,0.71,4
2020-03-11 00:10:00,E,0.07,-0.16,0.71,4
2020-03-11 12:10:00,D,-0.37,-1.17,-0.16,3
2020-03-12 00:10:00,E,0.08,-0.16,0.71,4
2020-03-12 12:10:00,E,0.34,-0.16,0.71,4
2020-03-13 00:10:00,D,-0.27,-1.17,-0.16,3
2020-03-13 12:10:00,E,0.22,-0.16,0.71,4
2020-03-14 00:10:00,E,0.22,-0.16,0.71,4
2020-03-14 12:10:00,E,0.39,-0.16,0.71,4
2020-03-15 00:10:00,D,-0.53,-1.17,-0.16,3
2020-03-15 12:10:00,D,-0.32,-1.17,-0.16,3
2020-03-16 00:10:00,E,0.07,-0.16,0.71,4
2020-03-16 12:10:00,E,0.22,-0.16,0.71,4
2020-03-17 00:10:00,E,-0.08,-0.16,0.71,4
2020-03-17 12:10:00,E,0.51,-0.16,0.71,4
2020-03-18 00:10:00,E,0.2,-0.16,0.71,4
2020-03-18 12:10:00,D,-0.43,-1.17,-0.16,3
2020-03-19 00:10:00,E,0.17,-0.16,0.71,4
2020-03-19 12:10:00,E,-0.14,-0.16,0.71,4
2020-03-20 00:10:00,E,-0.11,-0.16,0.71,4
2020-03-20 12:10:00,E,0.08,-0.16,0.71,4
2020-03-21 00:10:00,D,-0.18,-1.17,-0.16,3
2020-03-21 12:10:00,E,-0.14,-0.16,0.71,4
2020-03-22 00:10:00,D,-0.48,-1.17,-0.16,3
2020-03-22 12:10:00,E,0.48,-0.16,0.71,4
2020-03-23 00:10:00,E,0.02,-0.16,0.71,4
2020-03-23 12:10:00,E,0.07,-0.16,0.71,4
2020-03-24 00:10:00,D,-0.25,-1.17,-0.16,3
2020-03-24 12:10:00,E,0.11,-0.16,0.71,4
2020-03-25 00:10:00,E,0.08,-0.16,0.71,4
2020-03-25 12:10:00,E,0.14,-0.16,0.71,4
2020-03-26 00:10:00,D,-0.55,-1.17,-0.16,3
2020-03-26 12:10:00,E,0.41,-0.16,0.71,4
2020-03-27 00:10:00,E,0.22,-0.16,0.71,4
2020-03-27 12:10:00,D,-0.58,-1.17,-0.16,3
2020-03-28 00:10:00,D,-0.36,-1.17,-0.16,3
2020-03-28 12:10:00,E,0.3,-0.16,0.71,4
2020-03-29 00:10:00,E,0.53,-0.16,0.71,4
2020-03-29 12:10:00,E,0.34,-0.16,0.71,4
2020-03-30 00:10:00,D,-0.45,-1.17,-0.16,3
2020-03-30 12:10:00,D,-0.3,-1.17,-0.16,3
2020-03-31 00:10:00,E,0.02,-0.16,0.71,4
2020-03-31 12:10:00,E,0.45,-0.16,0.71,4
2020-04-01 00:10:00,E,-0.06,-0.16,0.71,4
2020-04-01 12:10:00,E,0.46,-0.16,0.71,4
2020-04-02 00:10:00,E,0.66,-0.16,0.71,4
2020-04-02 12:10:00,E,0.06,-0.16,0.71,4
2020-04-03 00:10:00,C,-1.9,-2.8,-1.17,2
2020-04-03 12:10:00,E,-0.01,-0.16,0.71,4
2020-04-04 00:10:00,E,0.21,-0.16,0.71,4
2020-04-04 12:10:00,F,0.84,0.71,2.11,5
2020-04-05 00:10:00,E,0.01,-0.16,0.71,4
2020-04-05 12:10:00,E,0.08,-0.16,0.71,4
2020-04-06 00:10:00,E,0.32,-0.16,0.71,4
2020-04-06 12:10:00,D,-0.18,-1.17,-0.16,3
2020-04-07 00:10:00,E,0.14,-0.16,0.71,4
2020-04-07 12:10:00,E,0.05,-0.16,0.71,4
2020-04-08 00:10:00,F,1.47,0.71,2.11,5
2020-04-08 12:10:00,D,-0.88,-1.17,-0.16,3
2020-04-09 00:10:00,D,-0.99,-1.17,-0.16,3
2020-04-09 12:10:00,E,0.12,-0.16,0.71,4
2020-04-10 00:10:00,E,-0.12,-0.16,0.71,4
2020-04-10 12:10:00,F,0.74,0.71,2.11,5
2020-04-11 00:10:00,E,0.07,-0.16,0.71,4
2020-04-11 12:10:00,D,-0.82,-1.17,-0.16,3
2020-04-12 00:10:00,D,-0.42,-1.17,-0.16,3
2020-04-12 12:10:00,D,-0.39,-1.17,-0.16,3
2020-04-13 00:10:00,E,0.17,-0.16,0.71,4
2020-04-13 12:10:00,E,-0.03,-0.16,0.71,4
2020-04-14 00:10:00,E,0.66,-0.16,0.71,4
2020-04-14 12:10:00,D,-1.03,-1.17,-0.16,3
2020-04-15 00:10:00,E,-0.11,-0.16,0.71,4
2020-04-15 12:10:00,E,0.08,-0.16,0.71,4
